,density,init_fire,reborn_tree,Run,Burned Out,Fine,Fire,height,width
387,0.5,20,20,387,0,4969,0,100,100
388,0.5,20,20,388,0,5046,0,100,100
389,0.5,20,20,389,0,5045,0,100,100
390,0.5,20,20,390,590,4377,75,100,100
391,0.5,20,20,391,0,4995,0,100,100
392,0.5,20,20,392,0,5078,0,100,100
393,0.5,20,20,393,662,4300,72,100,100
394,0.5,20,20,394,745,4167,73,100,100
395,0.5,20,20,395,1,4939,0,100,100
396,0.5,20,20,396,328,4643,53,100,100
397,0.5,20,20,397,490,4410,84,100,100
398,0.5,20,20,398,494,4492,45,100,100
399,0.5,20,20,399,350,4537,49,100,100
400,0.5,20,50,400,569,4377,49,100,100
401,0.5,20,50,401,0,4974,0,100,100
402,0.5,20,50,402,0,4987,0,100,100
403,0.5,20,50,403,0,4999,0,100,100
404,0.5,20,50,404,394,4533,51,100,100
405,0.5,20,50,405,0,5015,0,100,100
406,0.5,20,50,406,833,4025,69,100,100
407,0.5,20,50,407,0,5011,0,100,100
408,0.5,20,50,408,138,4885,39,100,100
409,0.5,20,50,409,0,5082,0,100,100
410,0.5,20,50,410,591,4384,66,100,100
411,0.5,20,50,411,291,4685,49,100,100
412,0.5,20,50,412,0,4935,0,100,100
413,0.5,20,50,413,0,4997,0,100,100
414,0.5,20,50,414,0,4995,0,100,100
415,0.5,20,50,415,644,4307,49,100,100
416,0.5,20,50,416,421,4517,51,100,100
417,0.5,20,50,417,0,4967,0,100,100
418,0.5,20,50,418,434,4542,58,100,100
419,0.5,20,50,419,0,4955,0,100,100
420,0.5,20,50,420,0,5076,0,100,100
421,0.5,20,50,421,539,4352,76,100,100
422,0.5,20,50,422,0,5022,0,100,100
423,0.5,20,50,423,0,5017,0,100,100
424,0.5,20,50,424,336,4573,61,100,100
425,0.5,20,50,425,468,4537,50,100,100
426,0.5,20,50,426,578,4374,73,100,100
427,0.5,20,50,427,0,5007,0,100,100
428,0.5,20,50,428,0,4958,0,100,100
429,0.5,20,50,429,0,5064,0,100,100
430,0.5,20,50,430,464,4488,67,100,100
431,0.5,20,50,431,499,4477,55,100,100
432,0.5,20,50,432,0,4980,0,100,100
433,0.5,20,50,433,0,4992,0,100,100
434,0.5,20,50,434,0,5072,0,100,100
435,0.5,20,50,435,0,4926,0,100,100
436,0.5,20,50,436,0,5004,0,100,100
437,0.5,20,50,437,562,4379,66,100,100
438,0.5,20,50,438,0,5010,0,100,100
439,0.5,20,50,439,735,4309,81,100,100
440,0.5,20,50,440,398,4504,89,100,100
441,0.5,20,50,441,0,5002,0,100,100
442,0.5,20,50,442,0,4999,0,100,100
443,0.5,20,50,443,0,4860,0,100,100
444,0.5,20,50,444,613,4344,99,100,100
445,0.5,20,50,445,0,4985,0,100,100
446,0.5,20,50,446,0,5020,0,100,100
447,0.5,20,50,447,0,4960,0,100,100
448,0.5,20,50,448,765,4120,92,100,100
449,0.5,20,50,449,685,4284,83,100,100
450,0.5,20,50,450,677,4261,75,100,100
451,0.5,20,50,451,660,4365,68,100,100
452,0.5,20,50,452,0,4962,0,100,100
453,0.5,20,50,453,0,5049,0,100,100
454,0.5,20,50,454,0,5035,0,100,100
455,0.5,20,50,455,0,5056,0,100,100
456,0.5,20,50,456,0,4993,0,100,100
457,0.5,20,50,457,671,4292,76,100,100
458,0.5,20,50,458,0,4899,0,100,100
459,0.5,20,50,459,738,4276,73,100,100
460,0.5,20,50,460,564,4430,81,100,100
461,0.5,20,50,461,613,4310,41,100,100
462,0.5,20,50,462,865,4107,89,100,100
463,0.5,20,50,463,431,4495,59,100,100
464,0.5,20,50,464,161,4745,17,100,100
465,0.5,20,50,465,0,4997,0,100,100
466,0.5,20,50,466,408,4550,50,100,100
467,0.5,20,50,467,390,4571,59,100,100
468,0.5,20,50,468,116,4815,20,100,100
469,0.5,20,50,469,187,4770,34,100,100
470,0.5,20,50,470,722,4251,83,100,100
471,0.5,20,50,471,0,4962,0,100,100
472,0.5,20,50,472,499,4426,55,100,100
473,0.5,20,50,473,0,4995,0,100,100
474,0.5,20,50,474,762,4164,72,100,100
475,0.5,20,50,475,558,4433,78,100,100
476,0.5,20,50,476,0,5030,0,100,100
477,0.5,20,50,477,0,5069,0,100,100
478,0.5,20,50,478,434,4538,48,100,100
479,0.5,20,50,479,0,4960,0,100,100
480,0.5,20,50,480,382,4650,58,100,100
481,0.5,20,50,481,0,5050,0,100,100
482,0.5,20,50,482,357,4566,30,100,100
483,0.5,20,50,483,558,4406,68,100,100
484,0.5,20,50,484,770,4122,87,100,100
485,0.5,20,50,485,0,4943,0,100,100
486,0.5,20,50,486,662,4272,71,100,100
487,0.5,20,50,487,0,5054,0,100,100
488,0.5,20,50,488,0,5057,0,100,100
489,0.5,20,50,489,0,4892,0,100,100
490,0.5,20,50,490,0,4894,0,100,100
491,0.5,20,50,491,0,5044,0,100,100
492,0.5,20,50,492,465,4450,69,100,100
493,0.5,20,50,493,0,4920,0,100,100
494,0.5,20,50,494,425,4481,65,100,100
495,0.5,20,50,495,0,5067,0,100,100
496,0.5,20,50,496,302,4586,44,100,100
497,0.5,20,50,497,435,4457,69,100,100
498,0.5,20,50,498,420,4550,58,100,100
499,0.5,20,50,499,0,4896,0,100,100
500,0.5,20,80,500,0,5011,0,100,100
501,0.5,20,80,501,0,5014,0,100,100
502,0.5,20,80,502,530,4397,63,100,100
